plot,plot_id,trt,trt2,inoc_method,concentration,date,total_leaves,symptomatic_leaves,disease_percentage
1,MC25_1,dre_10_7,RD_10_7,dre,10_7,7/20/25,7,5,71
2,MC25_2,dipmod_10_6,SPD_10_6,dipmod,10_6,7/20/25,7,1,14
3,MC25_3,dipmod_10_7,SPD_10_7,dipmod,10_7,7/20/25,7,4,57
4,MC25_4,dip_original_10_6,ORD_10_6,dip_original,10_6,7/20/25,8,5,63
5,MC25_5,dre_10_5,RD_10_5,dre,10_5,7/20/25,6,0,0
6,MC25_6,dipmod_10_5,SPD_10_5,dipmod,10_5,7/20/25,7,0,0
7,MC25_7,dip_original_10_7,ORD_10_7,dip_original,10_7,7/20/25,7,5,71
8,MC25_8,dipmod_10_5,SPD_10_5,dipmod,10_5,7/20/25,6,0,0
9,MC25_9,dipmod_10_5,SPD_10_5,dipmod,10_5,7/20/25,8,1,13
10,MC25_10,dre_10_6,RD_10_6,dre,10_6,7/20/25,9,1,11
11,MC25_11,dre_10_5,RD_10_5,dre,10_5,7/20/25,7,4,57
12,MC25_12,dipmod_10_6,SPD_10_6,dipmod,10_6,7/20/25,6,5,83
13,MC25_13,dipmod_10_5,SPD_10_5,dipmod,10_5,7/20/25,7,0,0
14,MC25_14,dip_original_10_6,ORD_10_6,dip_original,10_6,7/20/25,7,6,86
15,MC25_15,dip_original_10_6,ORD_10_6,dip_original,10_6,7/20/25,7,5,71
16,MC25_16,dipmod_10_5,SPD_10_5,dipmod,10_5,7/20/25,7,0,0
17,MC25_17,dre_10_5,RD_10_5,dre,10_5,7/20/25,8,2,25
18,MC25_18,dipmod_10_7,SPD_10_7,dipmod,10_7,7/20/25,8,2,25
19,MC25_19,dre_10_5,RD_10_5,dre,10_5,7/20/25,7,0,0
20,MC25_20,dipmod_10_6,SPD_10_6,dipmod,10_6,7/20/25,7,0,0
21,MC25_21,dipmod_10_5,SPD_10_5,dipmod,10_5,7/20/25,6,1,17
22,MC25_22,dre_10_7,RD_10_7,dre,10_7,7/20/25,8,3,38
23,MC25_23,dre_10_7,RD_10_7,dre,10_7,7/20/25,8,3,38
24,MC25_24,dipmod_10_7,SPD_10_7,dipmod,10_7,7/20/25,5,4,80
25,MC25_25,dipmod_10_7,SPD_10_7,dipmod,10_7,7/20/25,6,5,83
26,MC25_26,dre_10_6,RD_10_6,dre,10_6,7/20/25,7,0,0
27,MC25_27,dip_original_10_7,ORD_10_7,dip_original,10_7,7/20/25,7,3,43
28,MC25_28,dip_original_10_6,ORD_10_6,dip_original,10_6,7/20/25,7,2,29
29,MC25_29,dip_original_10_5,ORD_10_5,dip_original,10_5,7/20/25,7,2,29
30,MC25_30,dipmod_10_5,SPD_10_5,dipmod,10_5,7/20/25,6,1,17
31,MC25_31,dipmod_10_7,SPD_10_7,dipmod,10_7,7/20/25,6,6,100
32,MC25_32,dipmod_10_6,SPD_10_6,dipmod,10_6,7/20/25,7,6,86
33,MC25_33,dre_10_6,RD_10_6,dre,10_6,7/20/25,7,2,29
34,MC25_34,dre_10_7,RD_10_7,dre,10_7,7/20/25,8,4,50
35,MC25_35,dre_10_5,RD_10_5,dre,10_5,7/20/25,7,0,0
